Peligni_42.11739, 13.835249_4
Marrucini_42.351114, 14.167428_4
Vestini_42.45, 13.916667_4
Frentani_42.231211, 14.390472_4
Dahi_39.516667, 54.366667_4
Britanni_51.5125, -0.0906_4
Arabi_12.8, 45.033333_4
Eniochi_43, 41.016667_4
Giudei_31.783333, 35.216667_4
Macedoni_40.754669, 22.52105_4
Sicani_37.566667, 14.266667_4
Tesproti_39.246912, 20.527922_4
Driopi_38.8286, 22.28861_4
Selloi_39.546389, 20.787778_4
Atamane_37.630614, 22.721463_4
Encheli_40.721672, 19.472658_4
Fenici_33.5614, 35.375_4
Oresti_40.083333, 21.416667_4
Carmani_30.283333, 57.066667_4
Etiopi_14.128397, 38.717257_4
Moschi_41.638889, 42.986111_4
Essedoni_42.15, 41.666667_4
Arimaspi_46.5257, 32.252_4
Arii_34.341944, 62.203056_4
Geloni_47.270556, 39.341389_4
Asturi_42.45, -6.05_4
Vettoni_40.1666, -6.101_4
Celtiberi_41.809586, -2.444258_4
Nabatei_30.328889, 35.440278_4
Indi_29.349167, 71.028056_4
Veneti_45.406389, 11.877778_4
Garamanti_26.533333, 13.066667_4
Curicti_45.066667, 14.6_4
Istriani_44.916667, 13.969722_4
Liburni_44.55, 14.883333_4
Autololi_36.131667, -5.351667_4
Getuli_33.537778, 10.676111_4
Nasamoni_30.4057, 19.5718_4
Marmaridi_32.066667, 23.95_4
Masaci_35.766667, -5.8_4_
Massili_36.3675, 6.611944_4
Afri_36.3675, 6.611944_4
Bessi_42.618056, 25.305556_4
Taulanti_41.324167, 19.455833_4
Cantabri_43.4, -4.4_4
Bebrici_40.7625, 29.9175_4
Lelegi_37.939722, 27.348611_4
Eoli_38.928056, 26.937222_4
Dolopi_39.06646, 21.98373_4
Magneti_39.312923, 22.930713_4
Iturei_34.006111, 36.208611_4
Germani_51.049258, 13.738361_4
Galati_39.9117, 32.8403_4
Alani_47.270556, 39.341389_4
Sabei_15.416667, 45.35_4
Psilli_32.116667, 20.066667_4
Larinati_38.894012, 21.345393_4
Albici_44.05, 5.05_4
Volci Arecomici_43.833333, 4.35_4
Elvi_44.555556, 4.598889_4
Salli_44.566667, 6.083333_4
Aquitani_44.838611, -0.578334_4
Iacetani_42.5667, -0.55_4
Illurgavonensi_41.3667, 0.3_4
Gaditani_36.533333, -6.283333_4
Dardani_42.6, 21.166667_4
Partini_41.045833, 19.75_4
Labeati_42.066667, 19.5_4
Allobrogi_45.516667, 4.866667_4
Arasse_39.216111, 45.410556_5
Nilo_27.774439, 30.801111_5
Rubicone_44.088056, 12.393333_5
Reno_27.774439, 30.801111_5
Tevere_42.778889, 12.414167_5
Isara_45.1667, 5.7167_5
Rodano_45.766944, 4.834167_5
Atace_43.216667, 2.349987_5
Varo_43.9381, 7.0978_5
Aturio_43.7, -0.266667_5_
Cinga_41.428381, 0.349726_5
Arari_46.7806, 4.8528_4
Nera_42.561944, 12.641389_5
Aniene_41.959722, 12.798056_5
Almone_41.8922, 12.4852_5
